"","video_id","publishedAt","channelId","title","description","thumbnails.default.url","thumbnails.default.width","thumbnails.default.height","thumbnails.medium.url","thumbnails.medium.width","thumbnails.medium.height","thumbnails.high.url","thumbnails.high.width","thumbnails.high.height","channelTitle","liveBroadcastContent","publishTime"
"127","MZWPQmt7a8k","2023-10-20T23:30:05Z","UCeY0bbntWzzVIaj2z3QigXg","Two American hostages released by Hamas","Americans Judith Tai Raanan and her 17-year-old daughter Natalie Shoshana Raanan are the first two hostages to be released ...","https://i.ytimg.com/vi/MZWPQmt7a8k/default.jpg","120","90","https://i.ytimg.com/vi/MZWPQmt7a8k/mqdefault.jpg","320","180","https://i.ytimg.com/vi/MZWPQmt7a8k/hqdefault.jpg","480","360","NBC News","none","2023-10-20T23:30:05Z"
"128","RTvZ28vDGJM","2022-05-05T03:30:16Z","UCeY0bbntWzzVIaj2z3QigXg","Former U.S. Marine Creates Team Of Special Ops Vets To Train Ukrainian Soldiers","A group of American and British military veterans called “The Mozart Group” is a team of special operations vets who are training ...","https://i.ytimg.com/vi/RTvZ28vDGJM/default.jpg","120","90","https://i.ytimg.com/vi/RTvZ28vDGJM/mqdefault.jpg","320","180","https://i.ytimg.com/vi/RTvZ28vDGJM/hqdefault.jpg","480","360","NBC News","none","2022-05-05T03:30:16Z"
"129","gqZTRMH-9v0","2022-07-27T16:51:54Z","UCeY0bbntWzzVIaj2z3QigXg","Morning News NOW Full Broadcast - July 27","The Federal Reserve is expected to raise interest rates amid an economic slowdown, dangerous heat continues to scorch the ...","https://i.ytimg.com/vi/gqZTRMH-9v0/default.jpg","120","90","https://i.ytimg.com/vi/gqZTRMH-9v0/mqdefault.jpg","320","180","https://i.ytimg.com/vi/gqZTRMH-9v0/hqdefault.jpg","480","360","NBC News","none","2022-07-27T16:51:54Z"
"130","YLdiHKiyrYg","2022-02-24T14:00:13Z","UCeY0bbntWzzVIaj2z3QigXg","How The U.S. Military Is Responding To Russia’s Attack On Ukraine","U.S. troops stationed in Europe are on high alert as Russia begins its attack on Ukraine. However, the Biden administration has ...","https://i.ytimg.com/vi/YLdiHKiyrYg/default.jpg","120","90","https://i.ytimg.com/vi/YLdiHKiyrYg/mqdefault.jpg","320","180","https://i.ytimg.com/vi/YLdiHKiyrYg/hqdefault.jpg","480","360","NBC News","none","2022-02-24T14:00:13Z"
"131","Rf-ADIM7Lrg","2022-07-12T12:00:14Z","UCeY0bbntWzzVIaj2z3QigXg","Hadron Collider Scientists Discover Three Subatomic Particles Never Seen Before","Beneath the Swiss Alps lives the world's largest and most powerful particle accelerator and recently scientists found three new ...","https://i.ytimg.com/vi/Rf-ADIM7Lrg/default.jpg","120","90","https://i.ytimg.com/vi/Rf-ADIM7Lrg/mqdefault.jpg","320","180","https://i.ytimg.com/vi/Rf-ADIM7Lrg/hqdefault.jpg","480","360","NBC News","none","2022-07-12T12:00:14Z"
"132","qn-B5IPEaos","2021-11-05T23:42:25Z","UCeY0bbntWzzVIaj2z3QigXg","Phoenix Is ‘The Head Of The Snake’ As DEA Cracks Down On Counterfeit Pills","NBC News' Lester Holt is granted rare access to the DEA's evidence vault to see the scale of the fentanyl crisis first hand.","https://i.ytimg.com/vi/qn-B5IPEaos/default.jpg","120","90","https://i.ytimg.com/vi/qn-B5IPEaos/mqdefault.jpg","320","180","https://i.ytimg.com/vi/qn-B5IPEaos/hqdefault.jpg","480","360","NBC News","none","2021-11-05T23:42:25Z"
"133","Da42HHYAPkA","2021-08-07T23:22:27Z","UCeY0bbntWzzVIaj2z3QigXg","More Than 1,000 Evacuated Due To Wildfires in Greece","Over 100 fires are burning across Greece and more than 1000 people evacuated the island of Evia. Firefighters tried to control ...","https://i.ytimg.com/vi/Da42HHYAPkA/default.jpg","120","90","https://i.ytimg.com/vi/Da42HHYAPkA/mqdefault.jpg","320","180","https://i.ytimg.com/vi/Da42HHYAPkA/hqdefault.jpg","480","360","NBC News","none","2021-08-07T23:22:27Z"
"134","qLoCz2dgMHE","2022-06-20T12:43:33Z","UCeY0bbntWzzVIaj2z3QigXg","This Morning’s Top Headlines – June 20 | Morning News NOW","The House January 6 committee prepares for the next public hearing into efforts to overturn the 2020 Presidential election, ...","https://i.ytimg.com/vi/qLoCz2dgMHE/default.jpg","120","90","https://i.ytimg.com/vi/qLoCz2dgMHE/mqdefault.jpg","320","180","https://i.ytimg.com/vi/qLoCz2dgMHE/hqdefault.jpg","480","360","NBC News","none","2022-06-20T12:43:33Z"
"135","xW0o7j0lVUg","2022-05-12T13:00:29Z","UCeY0bbntWzzVIaj2z3QigXg","How Russia Could Respond If Finland Joins NATO","As Russia continues its bombardment of Ukraine, Finland's president and prime minister have issued a joint statement urging ...","https://i.ytimg.com/vi/xW0o7j0lVUg/default.jpg","120","90","https://i.ytimg.com/vi/xW0o7j0lVUg/mqdefault.jpg","320","180","https://i.ytimg.com/vi/xW0o7j0lVUg/hqdefault.jpg","480","360","NBC News","none","2022-05-12T13:00:29Z"
"136","mkMwLFxes3g","2021-01-02T00:28:03Z","UCeY0bbntWzzVIaj2z3QigXg","Congress Overrides Trump Veto For First Time | NBC Nightly News","The Senate joined the House in voting to override President Trump's veto of a $741 billion defense bill, the first time Congress has ...","https://i.ytimg.com/vi/mkMwLFxes3g/default.jpg","120","90","https://i.ytimg.com/vi/mkMwLFxes3g/mqdefault.jpg","320","180","https://i.ytimg.com/vi/mkMwLFxes3g/hqdefault.jpg","480","360","NBC News","none","2021-01-02T00:28:03Z"
